so2,no2,o3,MP10
"5	","	2	","	15	","		30.001"
"6	","	5	","	12	","		29"
"8	","	4	","	8	","		43"
"9	","	10	","	6	","		49"
"10.001	","	14	","	7	","		48"
"10.001	","	24	","	9	","		26"
"11	","	45	","	8	","		42"
"11	","	71	","	8	","		49"
"11	","	97	","	19	","		55"
"10.001	","	138	","	28	","		66"
"13	","	138	","	40	","		53"
"11	","	100	","	25	","		52"
"7	","	75	","	38	","		45"
"7	","	54	","	45	","		40.001"
"8	","	41	","	38	","		33"
"15	","	35	","	70	","		38"
"26	","	25	","	61	","		45"
"18	","	26	","	65	","		54"
"4	","	22	","	52	","		52"
"5	","	28	","	99	","		37"
"9	","	25	","	116	","		33"
"3	","	22	","	76	","		21"
"5	","	13	","	73	","		56"
"29	","	14	","	68	","		59"
"17	","	16	","	66	","		60.001"
"5	","	23	","	68	","		55"
"6	","	34	","	64	","		34"
"15	","	67	","	60	","		42"
"22	","	87	","	24	","		31"
"15	","	97	","	15	","		38"
"6	","	107	","	12	","		18"
"1	","	105	","	11	","		20.001"
"3	","	99	","	12	","		23"
"10.001	","	96	","	13	","		42"
"21	","	44	","	20	","		91"
"8	","	15	","	19	","		48"
"3	","	33	","	17	","		41"
"2	","	45	","	14	","		50.001"
"6	","	32	","	13	","		37"
"8	","	34	","	13	","		26"
"6	","	28	","	13	","		26"
"1	","	0.001	","	12	","		16"
"4	","	0.001	","	14	","		18"
"5	","	1	","	13	","		37"
"4	","	2	","	24	","		39"
"5	","	3	","	46	","		40.001"
"4	","	0.001	","	49	","		29"
"4	","	11	","	34	","		41"
"6	","	46	","	31	","		41"
"9	","	57	","	30	","		43"
"5	","	70	","	23	","		26"
"4	","	81	","	28	","		35"
"5	","	93	","	39	","		35"
"4	","	89	","	32	","		43"
"4	","	80	","	29	","		49"
"3	","	54	","	35	","		33"
"3	","	14	","	40	","		20.001"
"3	","	13	","	39	","		24"
"4	","	19	","	40	","		22"
"4	","	2	","	33	","		13"
"4	","	0.001	","	33	","		33"
"3	","	0.001	","	34	","		40.001"
"3	","	4	","	38	","		30.001"
"4	","	5	","	30	","		63"
"6	","	0.001	","	31	","		58"
"10.001	","	3	","	35	","		61"
"8	","	5	","	44	","		50.001"
"11	","	5	","	49	","		48"
"28	","	14	","	54	","		46"
"23	","	27	","	55	","		49"
"19	","	36	","	66	","		59"
"21	","	52	","	66	","		52"
"33	","	78	","	63	","		90.001"
"22	","	104	","	58	","		10.0017"
"13	","	92	","	60	","		89"
"7	","	48	","	58	","		65"
"6	","	23	","	53	","		63"
"6	","	9	","	34	","		66"
"5	","	3	","	20	","		73"
"6	","	0.001	","	22	","		65"
"7	","	0.001	","	31	","		57"
"6	","	1	","	18	","		64"
"4	","	3	","	14	","		43"
"5	","	0.001	","	17	","		47"
"4	","	0.001	","	23	","		36"
"5	","	0.001	","	29	","		55"
